course,course_name,short_description,long_description
RSEA 399 - Reading and Research,RSEA 399 , Reading and Research,Description:  Candidates for the A.M. degree in Regional Studies_East Asia may undertake reading and research in an approved area of their choice under the direction of a member of the Faculty.
RSRA 298A - Master's Thesis Reading and Research,RSRA 298A , Master's Thesis Reading and Research,"Description:  Interdisciplinary proseminar designed to orient master's degree students in Regional Studies-Russia, Eastern Europe, and Central Asia to theoretical and methodological approaches in the field, including research design for academic and policy research. Students must complete both parts of this course (parts A and B) within the same academic year in order to receive credit."
RSRA 299A - Master's Thesis Development and Writing,RSRA 299A , Master's Thesis Development and Writing,"Description:  A continuation of RSRA 298 (parts A and B), culminating in the final master's thesis. Students must complete both parts of this course (parts A and B) within the same academic year in order to receive credit."
RUSS 101 - Advanced Russian I,RUSS 101 , Advanced Russian I,"Description:  Continuing development of speaking and reading proficiency. Vocabulary work emphasizes verbs and verb government as essential to effective communication. Work on word formation to increase reading vocabulary. Texts for reading and discussion include works in prose, poetry, and film. Readings include a satirical tale by Shvartz, poetry of Akhmatova, and a film (Bykov's Scarecrow)."
RUSS 101 - Advanced Russian I,RUSS 101 , Advanced Russian I,"Description:  Continuing development of speaking and reading proficiency. Vocabulary work emphasizes verbs and verb government as essential to effective communication. Work on word formation to increase reading vocabulary. Texts for reading and discussion include works in prose, poetry, and film. Readings include a satirical tale by Shvartz, poetry of Akhmatova, and a film (Bykov's Scarecrow)."
RUSS 102R - Advanced Russian: Introduction to the Language of Social Sciences and the Media,RUSS 102R , Advanced Russian: Introduction to the Language of Social Sciences and the Media,"Description:  Introduction to the language of Russian newspapers, journals, and historical writing. Basic vocabulary for such areas as current events, including politics, history, economics, military issues, society, and the environment. Systematic study of word formation and other strategies are taught to help free students from excessive dependence on the dictionary and develop confidence in reading.Intended for students who desire a professional level of reading proficiency in the social sciences. Intensive work on morphology and supplementary work on oral comprehension."
RUSS 111 - Advanced Russian: Readings in Russian/Post-Soviet Studies,RUSS 111 , Advanced Russian: Readings in Russian/Post,"Description:  Reading and discussion of topics in the areas of history, economics, politics, and current events. Continued work on grammar and vocabulary with written exercises and compositions. TV viewing for comprehension development."
RUSS 113 - Advanced Russian: Readings in Russian Literature,RUSS 113 , Advanced Russian: Readings in Russian Literature,"Description:  Reading and discussion of classic and contemporary Russian literature. Continued work on vocabulary expansion and composition. Written exercises for reinforcement. Readings from authors such as Gogol, Chekhov, Bulgakov, Pasternak, Brodsky, and Bitov."
RUSS 120R - Supervised Readings in Advanced Russian,RUSS 120R , Supervised Readings in Advanced Russian,"Description:  Intended for students who have already taken other department offerings. Reading, discussion, and writing on special topics not addressed in other courses. Conducted as a tutorial. Requires a course proposal to apply; acceptance is not automatic. See note on independent language tutorials on our website for details about the application process."
RUSS AA - Elementary Russian I,RUSS AA , Elementary Russian I,"Description:  Part one of a two part introductory course in modern Russian language and culture, designed for students without previous knowledge of Russian who would like to speak Russian or use the language for reading and research. All four major communicative skills (speaking, listening comprehension, reading, writing) are stressed. Students are introduced to Russian culture and the etiquette of social exchanges, and expand their knowledge of grammar and vocabulary through readings (including stories, biography, and poetry), videos, and class discussions."
RUSS AA - Elementary Russian I,RUSS AA , Elementary Russian I,"Description:  Part one of a two part introductory course in modern Russian language and culture, designed for students without previous knowledge of Russian who would like to speak Russian or use the language for reading and research. All four major communicative skills (speaking, listening comprehension, reading, writing) are stressed. Students are introduced to Russian culture and the etiquette of social exchanges, and expand their knowledge of grammar and vocabulary through readings (including stories, biography, and poetry), videos, and class discussions."
RUSS AAB - Elementary Russian (Intensive),RUSS AAB , Elementary Russian (Intensive),"Description:  An intensive version of Russian AA: Elementary Russian I and Russian AB: Elementary Russian II, covering the same material in a single semester. Class meets five days per week with five hours of the main section and three hours of small group speaking practice each week (8 hours per week total)."
RUSS AH - Russian for Heritage Speakers,RUSS AH , Russian for Heritage Speakers,"Description:  Grammar and vocabulary review for students with a Russian-speaking family background. The course covers the entire case system, verb conjugation, aspect, motion constructions, and other essential grammar topics. Emphasis on reading, writing, spelling, and word formation."
RUSS ATA - Elementary Russian through Authentic Texts: Russian through Pushkin I,RUSS ATA , Elementary Russian through Authentic Texts: Russian through Pushkin I,"Description:  Part one of a two part introductory course to Russian language and culture through a selection from the verse and prose works of Russia's greatest poet, Alexander Pushkin (including The Bronze Horseman, excerpts from Eugene Onegin, shorter poems, and prose in The Queen of Spades). This literary and linguistic approach to Elementary Russian has a strong emphasis on reading authentic Russian, but all four major communicative skills (speaking, listening comprehension, reading, writing) are stressed. Covers all of the basics of Russian grammar, including all six cases, verbal conjugation, and verbs of motion."
RUSS BA - Intermediate Russian I,RUSS BA , Intermediate Russian I,"Description:  Part one of a two part intermediate course in modern Russian language and culture for students with previous study of the language. Further development of vocabulary and oral expression within a comprehensive review of Russian grammar. All four major communicative skills (speaking, listening comprehension, reading, writing) are stressed as students learn to use the language both as a means of communication and as a tool for reading and research. Systematic study of word formation and other strategies are taught to help free students from excessive dependence on the dictionary and develop confidence in reading. Vocabulary is thematically organized to include such topics as self and family, education, work, human relationships, politics, and national attitudes and is reinforced through film and the reading of classical and contemporary fiction and history. Practice in the etiquette of common social situations (sociolinguistic competence). Computer exercises on selected topics."
RUSS BTA - Intermediate Russian through Authentic Texts: Russian through Bulgakov I,RUSS BTA , Intermediate Russian through Authentic Texts: Russian through Bulgakov I,"Description:  Part one of a two-part intermediate course in Russian language and culture through reading of what is arguably 20th-century Russia's greatest novel, Mikhail Bulgakov's ""The Master and Margarita"". This literary and linguistic approach to Intermediate Russian has a strong emphasis on reading authentic Russian, but all four major communicative skills (speaking, listening comprehension, reading, writing) are stressed as students learn to use the language both as a means of communication and as a tool for reading and research. Further development of vocabulary and oral expression within a comprehensive review of Russian grammar. Systematic study of word formation and other strategies are taught to help free students from excessive dependence on the dictionary and develop confidence in reading."
SANSKRIT 101A - Elementary Sanskrit,SANSKRIT 101A , Elementary Sanskrit,"Description:  Introduction to Classical Sanskrit, the translocal language of intellectual life in South Asia for much of the last two millennia. This course provides the essential grammar and reading proficiency necessary to take up the language's many rich literary traditions: scripture (Upani?ad), epic (R?m?ya?a and Mah?bh?rata), poetry, Hindu and Buddhist philosophy, etc. After completing the textbook, we will read a narrative (Hitopadesa) drawn from one of the most popular literary works in the pre-modern world."
SANSKRIT 102AR - Intermediate Sanskrit I,SANSKRIT 102AR , Intermediate Sanskrit I,"Description:  A reading course designed to give students the tools necessary for advanced study in Classical Sanskrit. Readings in epic (itih?sa) or narrative (kath?), poetry (k?vya) or systematic thought (s?stra) will introduce students to a variety of important genres and their distinctive conventions. A focus upon the Sanskrit tradition's categories of analysis - grammatical, commentarial and prosodic - will enable students to begin to make sense of original Sanskrit texts as generations of the tradition's own readers have."
SANSKRIT 201AR - Advanced Philosophical Sanskrit,SANSKRIT 201AR , Advanced Philosophical Sanskrit,Description:  Topic to be announced.
SANSKRIT 216 - Advanced Sanskrit: Kashmir drama/Prahasana texts,SANSKRIT 216 , Advanced Sanskrit: Kashmir drama/Prahasana texts,"Description:  In this class we will read advanced classical Sanskrit texts, mostly from Kashmir. They include works such as the comical P?dat??itaka of Sy?milaka and similar texts by K?emendra."
SANSKRIT 250R - Nth Year Sanskrit: Seminar,SANSKRIT 250R , Nth Year Sanskrit: Seminar,Description:  An advanced course for students who have completed at least four years of formal Sanskrit instruction. Texts and topics will vary from year to year.
SANSKRIT 301 - Reading and Research,SANSKRIT 301 , Reading and Research,
SANSKRIT 301 - Reading and Research,SANSKRIT 301 , Reading and Research,
SANSKRIT 310 - Direction of Doctoral Dissertations,SANSKRIT 310 , Direction of Doctoral Dissertations,
SANSKRIT 310 - Direction of Doctoral Dissertations,SANSKRIT 310 , Direction of Doctoral Dissertations,
SANSKRIT 91R - Supervised Reading and Research,SANSKRIT 91R , Supervised Reading and Research,Description:  Supervised reading of texts in Sanskrit not covered by regular courses of instruction.
"SAS 100R - South Asian Language Tutorials, Introductory Level",SAS 100R ," South Asian Language Tutorials, Introductory Level","Description:  Individualized study of a South Asian language at the introductory level; emphasis on written expression, reading comprehension and oral fluency. Languages recently offered are Elementary Bahasa Indonesia, Elementary Bengali, and Elementary Burmese though others may be approved upon petition to the Director of Undergraduate Studies/Director of Graduate Studies."
"SAS 101R - South Asian Language Tutorials, Intermediate Level",SAS 101R ," South Asian Language Tutorials, Intermediate Level","Description:  Individualized study of a South Asian language at the intermediate level; emphasis on written expression, reading comprehension and oral fluency. Languages recently offered are Intermediate Bahasa Indonesia, Intermediate Bengali, and Intermediate Burmese though others may be approved upon petition to the Director of Undergraduate Studies/Director of Graduate Studies."
"SAS 102R - South Asian Language Tutorials, Advanced Level",SAS 102R ," South Asian Language Tutorials, Advanced Level","Description:  Individualized study of a South Asian language at the advanced level; emphasis on written expression, reading comprehension and oral fluency. Languages recently offered are Advanced Bahasa Indonesia, Advanced Bengali, and Advanced Burmese though others may be approved upon petition to the Director of Undergraduate Studies/Director of Graduate Studies."
SAS 302 - Reading and Research,SAS 302 , Reading and Research,
SAS 302 - Reading and Research,SAS 302 , Reading and Research,
SAS 302 - Reading and Research,SAS 302 , Reading and Research,
SAS 302 - Reading and Research,SAS 302 , Reading and Research,
SAS 302 - Reading and Research,SAS 302 , Reading and Research,
SAS 302 - Reading and Research,SAS 302 , Reading and Research,
SAS 302 - Reading and Research,SAS 302 , Reading and Research,
SAS 91R - Supervised Reading and Research,SAS 91R , Supervised Reading and Research,Description:  Supervised reading leading to a long term paper in a topic or topics not covered by regular courses of instruction.
SAS 98R - Tutorial - Junior Year,SAS 98R , Tutorial ,
SAS 99RA - Tutorial - Senior Year,SAS 99RA , Tutorial ,Description:  Students must complete both terms of this course (parts A and B) within the same academic year in order to receive credit.
SCAND 191R - Supervised Reading and Research,SCAND 191R , Supervised Reading and Research,Description:  Advanced readings in topics not covered in regular courses.
SCAND 300 - Special Reading Programs and Research Problems for Advanced Students,SCAND 300 , Special Reading Programs and Research Problems for Advanced Students,
SCAND 90R - Scandinavian Language Tutorial,SCAND 90R , Scandinavian Language Tutorial,"Description:  Individualized study of a Scandinavian language at the elementary, intermediate and advanced levels. Contact hours with language coach. Emphasis on literacy. Any language not listed as a course is taught under this number."
SCAND 90R.B - Finnish,SCAND 90R.B , Finnish,"Description:  Individualized study of Finnish at the elementary, intermediate, and advanced levels. Contact hours with a language coach. Emphasis on literacy."
SCAND 90R.C - Norwegian,SCAND 90R.C , Norwegian,"Description:  Individualized study of Norwegian at the elementary, intermediate and advanced levels. Contact hours with language coach. Emphasis on literacy."
SCAND 90R.C - Norwegian,SCAND 90R.C , Norwegian,"Description:  Individualized study of Norwegian at the elementary, intermediate and advanced levels. Contact hours with language coach. Emphasis on literacy."
SCAND 90R.C - Norwegian,SCAND 90R.C , Norwegian,"Description:  Individualized study of Norwegian at the elementary, intermediate and advanced levels. Contact hours with language coach. Emphasis on literacy."
SCAND 90R.C - Norwegian,SCAND 90R.C , Norwegian,"Description:  Individualized study of Norwegian at the elementary, intermediate and advanced levels. Contact hours with language coach. Emphasis on literacy."
SCAND 91R - Supervised Reading and Research,SCAND 91R , Supervised Reading and Research,Description:  Advanced reading in topics not covered in regular courses.
SCAND 97 - Tutorial - Sophomore Year,SCAND 97 , Tutorial ,Description:  Group or individual tutorial designed to supplement course work and acquaint students with appropriate analytical methods.
SCAND 98 - Tutorial - Junior Year,SCAND 98 , Tutorial ,Description:  Group or individual tutorial designed to supplement course work and to develop analytical techniques.
SCAND 99A - Tutorial - Senior Year,SCAND 99A , Tutorial ,Description:  Open to concentrators writing an honors thesis under faculty supervision. Students are expected to enroll for the entire year. Part one of a two part series.
SCILIVSY 12 - Understanding Darwinism,SCILIVSY 12 , Understanding Darwinism,"Description:  An interdisciplinary exploration of Darwin's ideas and their impact on science and society. The course links the history of Darwin's ideas with the key features of modern evolutionary biology. We review the development of the main elements of the theory of evolution, highlighting the areas in which Darwin's ideas have proved remarkably robust and areas in which subsequent developments have significantly modified the theory. By also analyzing the historical context of the development of evolutionary thought beyond Darwin, the course emphasizes the dynamic interplay between science and society."
SCILIVSY 20 - Psychological Science,SCILIVSY 20 , Psychological Science,"Description:  An introduction to the sciences of mind, including foundational concepts from neuroscience, evolution, genetics, philosophy, and experimental methods, and specific topics such as perception, memory, reasoning and decision-making, consciousness, child development, psychopathology, personality, language, emotion, sexuality, violence, morality and social relations."
"SCILIVSY 26 - Global Infectious Diseases and Social Justice: Lessons from Science, History, & Humanities",SCILIVSY 26 ," Global Infectious Diseases and Social Justice: Lessons from Science, History, & Humanities","Description:  This course will review the profound, often devastating impact nine major infectious diseases have had on society, including politics, war, religion, economics, public health, justice, and ethics. Rather than merely reciting grim statistics and body counts, we will illustrate the effects of these diseases as seen through the lens of history, literature, film, music and drama. We will celebrate how these infections have stimulated revolutionary epidemiologic and scientific advances in detection, treatment, and prevention, but we will also explore the darker side of this story. Behind the veneer of inexorable progress lies the reality that infections have spawned stigmatization, prejudice, exclusion, shameful human experimentation, social injustice, and inequalities in health outcomes. Even today, if we look behind the curtain of miracle drugs and a flourishing medical-industrial complex, we find that these same troubling themes remain relevant across the globe, and in the US.By weaving science together with the humanities, students will learn to address current and emerging global infectious disease threats and the social justice challenges they pose. We will provide enough clinical and scientific background about each infection for students to fully understand why they have had such important societal effects. Classes and sections will be highly interactive, including case studies, games, advocacy ?pitches,? a mock trial, debates, role playing, and collaborative learning."
SCIPHUNV 14 - How to Build a Habitable Planet,SCIPHUNV 14 , How to Build a Habitable Planet,"Description:  The story of Earth from the inception of the universe at the Big Bang to the revolution in planetary function and capability associated with the rise of human civilization. The aim of the course is to place human beings in a universal and planetary context, and to see the steps in planetary evolution as an essential perspective on how we relate to Earth today. Topics covered include the Big Bang, origin of the elements, formation of minerals, origin of the solar system, formation of planets, climate regulation, origin of life, co-evolution of ocean, atmosphere, solid earth and biosphere, development of plate tectonics, the modern Earth as an interconnected system, and the human era and its consequences for the planet. Current environmental problems can then be considered in a planetary context. Finally we consider whether Earth may be a microcosm reflecting laws of planetary evolution that may be common to a class of planets throughout the universe, or alternatively may be a low probability accident."
SCIPHUNV 26 - Finding Our Way,SCIPHUNV 26 , Finding Our Way,"Description:  We use the theme of primitive navigation to open the eyes of students to the physical world in a direct and palpable manner. Basic principles include human cognition of physical and mental maps, dead reckoning, direction finding from nature. The course includes the basics of astronomy, including planetary orbits, meteorology, thermodynamics, bird behavior, electromagnetic radiation, optics, waves, tides, ocean currents, and fluid dynamics. Navigational practices of Pacific Islanders, Norse, medieval Arabs, and early western Europeans provide a focus. Some facility with algebra and trigonometry is useful. A series of hands-on projects are employed to understand navigational practices discussed in lecture."
SCIPHUNV 27 - Science and Cooking: From Haute Cuisine to Soft Matter Science,SCIPHUNV 27 , Science and Cooking: From Haute Cuisine to Soft Matter Science,"Description:  This course is a collaboration between world-class chefs and Harvard professors. Each week, a chef will lecture about some aspect of gastronomy. This lecture will introduce and motivate a lecture about the science of soft materials by a Harvard professor. The course will cover the basic concepts in the science of soft materials, providing a solid understanding of their properties and behavior. All food is made of soft materials, and cooking relies on many of their fundamental properties. The course will also include laboratory work that uses concepts of cooking to understand and motivate experimental measurements on soft materials."
SCIPHUNV 29 - The Climate-Energy Challenge,SCIPHUNV 29 , The Climate,"Description:  This course will examine future climate change in the context of Earth history, and then consider various strategies for what might be done to deal with it. The likely impacts of continued greenhouse gas emissions will be explored, emphasizing the scientific uncertainties associated with various predictions, and how this can be understood in the context of risk. In the latter third of the class, the question of how to mitigate climate change will be discussed, including an examination of various options for advanced energy systems."
SCRB 10 - Human Developmental and Regenerative Biology,SCRB 10 , Human Developmental and Regenerative Biology,"Description:  Fundamental concepts in developmental biology will be presented within the framework of the developing and regenerating mammal. Where possible, lectures will focus on humans."
SCRB 15A - CRISPR Cas9: Precision Genetics and Gene Therapy,SCRB 15A , CRISPR Cas9: Precision Genetics and Gene Therapy,"Description:  This year-long hands-on laboratory course hones skills essential for researchers in developmental biology. Students will learn genome editing tools, cell culture techniques, and phenotypic analyses in both cell lines and model systems while addressing unknown questions in the field. SCRB 15 is designed to complement material found in SCRB 10, and is best taken during the sophomore year. Students are strongly encouraged to complete SCRB 15B in the spring."
SCRB 175 - Glucose: From Molecule to Society,SCRB 175 , Glucose: From Molecule to Society,"Description:  We will explore the biochemistry, cell biology, and physiology that make glucose our main source of energy. How did humans depend on and crave this molecule? What consequences does it hold for normal metabolism and disease? Students will integrate evolution, endocrinology, biostatistics, bioengineering, and regenerative biology approaches in considering sugar and all its consequences. Finally, we will evaluate legal and business issues necessary to move scientific and technical innovations from the laboratory to the patient."
SCRB 175 - Glucose: From Molecule to Society,SCRB 175 , Glucose: From Molecule to Society,"Description:  We will explore the biochemistry, cell biology, and physiology that make glucose our main source of energy. How did humans depend on and crave this molecule? What consequences does it hold for normal metabolism and disease? Students will integrate evolution, endocrinology, biostatistics, bioengineering, and regenerative biology approaches in considering sugar and all its consequences. Finally, we will evaluate legal and business issues necessary to move scientific and technical innovations from the laboratory to the patient."
"SCRB 180 - Development, Plasticity, and Regeneration in the Mammalian Brain",SCRB 180 ," Development, Plasticity, and Regeneration in the Mammalian Brain","Description:  Regenerative biology of the mammalian central nervous system (CNS), motivated by a focused and related set of human CNS disorders: This course will discuss molecular and cellular mechanisms of regeneration and repair in the mammalian central nervous system (CNS), motivated by prototypical examples in the motor control systems and circuitry of the cerebral cortex and spinal cord centrally relevant to spinal cord injury, ALS / Lou Gehrig's disease (""amyotrophic lateral sclerosis"", and related disorders), and spinal muscular atrophy (SMA). We will take an approach integrating developmental and regenerative biology: we will compare and contrast aspects of embryonic neural development (molecular and cellular) with adult neural plasticity; discuss limitations to neuronal and axonal regeneration in the mature mammalian CNS following degeneration or injury; examine CNS regeneration approaches directed at overcoming intrinsic limitations; explore developmental controls, gene manipulation, and cellular reprogramming to promote neurogenesis, axonal regeneration, and directed differentiation in diseased adult mammalian brain; and consider technology such as ""brain-computer interfaces""."
"SCRB 190 - Understanding Aging: Degeneration, Regeneration, and the Scientific Search for the Fountain of Youth",SCRB 190 ," Understanding Aging: Degeneration, Regeneration, and the Scientific Search for the Fountain of Youth",Description:  This lecture and discussion course will explore the fundamental molecular and cellular mechanisms that govern organismal aging and contemporary strategies to delay or reverse this process.
SCRB 195 - The Translational Science of Stem Cells,SCRB 195 , The Translational Science of Stem Cells,"Description:  This tutorial will emphasize applications of stem cell biology to treating human disease. Students will help decide on the area of focus for the semester from a range of topics, including cell therapy for diabetes, drugs that mobilize stem cells to repair damaged tissue, and disease modeling. Together with the instructor, they will explore this area through lectures and extensive analysis of primary literature.NOTE: When last offered, the student work culminated in a scientific publication."
SCRB 302 - Mechanisms of Epigenetic Reprogramming,SCRB 302 , Mechanisms of Epigenetic Reprogramming,
SCRB 304 - Human Molecular Genetics,SCRB 304 , Human Molecular Genetics,
"SCRB 350 - Epithelial Stem Cells in Development, Regeneration, and Disease",SCRB 350 ," Epithelial Stem Cells in Development, Regeneration, and Disease",
SCRB 382 - Molecular Immunology,SCRB 382 , Molecular Immunology,
SCRB 399 - Vertebrate Developmental Biology,SCRB 399 , Vertebrate Developmental Biology,
SCRB 91R - Introduction to Research,SCRB 91R , Introduction to Research,"Description:  Laboratory research in topics related to the Human Developmental and Regenerative Biology Concentration under the direction of, or approved by, members of the Department of Stem Cell and Regenerative Biology, Principal Faculty of the Harvard Stem Cell Institute, or others with permission. A paper must be submitted to the laboratory sponsor and to the HDRB Concentration Office for review by the Course Director and Head Tutors."
SCRB 99A - Laboratory Research for Honors Thesis,SCRB 99A , Laboratory Research for Honors Thesis,Description:  For honors candidates writing a thesis in Human Developmental and Regenerative Biology. Students must complete both terms of this course (A and B) in order to receive credit.
SCTGALIC 130 - Introduction to Scottish Gaelic,SCTGALIC 130 , Introduction to Scottish Gaelic,Description:  An introduction to Gaidhlig (Scottish Gaelic) as it is spoken and written today. This course surveys the grammar while also emphasizing practice in speaking the language. This class is highly participatory; students are encouraged to take part in a range of communicative activities which enhance oral/aural ability. Translation exercises develop skills in the written language. A range of audio/ audiovisual materials and online resources is used to support student learning.
SEMPHIL 300 - Semitic and Afroasiatic Languages and Literatures,SEMPHIL 300 , Semitic and Afroasiatic Languages and Literatures,
"SHBT 200 - Acoustics, Production and Perception of Speech",SHBT 200 ," Acoustics, Production and Perception of Speech","Description:  Reviews the physical processes involved in the production and propagation of sound, and acoustics related to hearing. Particular attention to how the acoustics and mechanics of the speech and auditory system define what sounds we are capable of producing and how we sense sound. Introduces acoustic theory of speech production, digital speech processing, and neural mechanisms of speech production and perception. Exposes students to applications around acoustics, recognition, and speech disorders. Also introduces analysis of various types of sounds. Includes take-home laboratory assignments and discussions of classic papers."
SHBT 201 - Biology of the Inner Ear,SHBT 201 , Biology of the Inner Ear,"Description:  Normal biology, biophysics, physiology and morphology of the inner ear, its sensory innervation and efferent control systems, and the mechanisms underlying sensorineural hearing loss and balance disorders. Material is presented through lectures, laboratory exercises and discussions of the primary literature."
SHBT 300 - Auditory neural coding laboratory,SHBT 300 , Auditory neural coding laboratory,"Description:  Research projects on the neural coding of sound and the neural basis of auditory perception, with emphasis on the mechanisms for listening in adverse environments comprising reverberation and competing sound sources."
"SHBT 301 - Acoustics and Mechanics of the Middle Ear, with a Dual Emphasis on Comparative Phys",SHBT 301 ," Acoustics and Mechanics of the Middle Ear, with a Dual Emphasis on Comparative Phys","Description:  Investigates the acoustics and mechanics of the middle ear, with a dual emphasis on comparative phys."
SHBT 301QC - Speech and Hearing Laboratory Visits,SHBT 301QC , Speech and Hearing Laboratory Visits,"Description:  Research on topics in theoretical, experimental, clinical, or translational aspects of Speech and Hearing Sciences arranged on an individual basis with a research supervisor."
"SHBT 302 - The Mechanics and Physiology of the Peripheral Auditory System, with an Emphasis on Mechanisms of co",SHBT 302 ," The Mechanics and Physiology of the Peripheral Auditory System, with an Emphasis on Mechanisms of co",
"SHBT 303 - Sensory Coding and Feedback Control, in the Mammalian Cochlea; Mechanisms of Sensorineural Hearing",SHBT 303 ," Sensory Coding and Feedback Control, in the Mammalian Cochlea; Mechanisms of Sensorineural Hearing",
SHBT 305 - Degeneration and regeneration of the auditory nerve; biomarkers of sensorineural hearing loss,SHBT 305 , Degeneration and regeneration of the auditory nerve; biomarkers of sensorineural hearing loss,
SHBT 306 - Clinical studies of laryngeal voice disorders with an emphasis on the development of improved diagno,SHBT 306 , Clinical studies of laryngeal voice disorders with an emphasis on the development of improved diagno,
SHBT 310 - Independent Study in Speech and Hearing Sciences,SHBT 310 , Independent Study in Speech and Hearing Sciences,Description:  Opportunity for independent study of topics in speech and hearing sciences under regular supervision by an SHBT faculty member.
SHBT 310 - Independent Study in Speech and Hearing Sciences,SHBT 310 , Independent Study in Speech and Hearing Sciences,Description:  Opportunity for independent study of topics in speech and hearing sciences under regular supervision by an SHBT faculty member.
SHBT 311 - Clinical work at MGHIHP,SHBT 311 , Clinical work at MGHIHP,
SHBT 313 - Dissertation work in optogenetics,SHBT 313 , Dissertation work in optogenetics,
SHBT 330 - Dissertation Research,SHBT 330 , Dissertation Research,Description:  For SHBT graduate students studying in research labs at MIT only.
SHBT 333R - Laboratory Rotation in Speech and Hearing Sciences,SHBT 333R , Laboratory Rotation in Speech and Hearing Sciences,"Description:  Research on topics in theoretical, experimental, clinical, or translational aspects of Speech and Hearing Sciences arranged on an individual basis with a research supervisor."
SHBT 350 - The Neural Basis and Clinical Applications of Speech,SHBT 350 , The Neural Basis and Clinical Applications of Speech,
SHBT 360 - Mechano-acoustics of sound transmission to the inner ear,SHBT 360 , Mechano,
SHONA 101AR - Advanced Shona,SHONA 101AR , Advanced Shona,"Description:  A study of Shona a major language spoken mainly in Zimbabwe at the Advanced level in the Fall semester. As needed, successive advanced readings in Shona may be taken under Shona 101ar every Fall."
SHONA AA - Elementary Shona,SHONA AA , Elementary Shona,"Description:  A study of Shona a major language spoken mainly in Zimbabwe at the Elementary level (First year part 1). Contact hours supplemented by digital resources. Emphasis on written expression, reading comprehension, and oral fluency. Students are strongly encouraged to take both parts of the course within the same academic year. The curriculum builds throughout the year."
SHONA BA - Intermediate Shona,SHONA BA , Intermediate Shona,"Description:  A study of Shona a major language spoken mainly in Zimbabwe at the Intermediate level (Second year part 1). Contact hours supplemented by language lab sessions. Emphasis on written expression, reading comprehension, and oral fluency. Students are strongly encouraged to take both parts of the course within the same academic year. The curriculum builds throughout the year. Students taking Shona BA in the Spring must note that Shona BB is offered only in the Spring and must therefore wait for Spring to complete the course."
SLAVIC 126 - Structure of Modern Russian,SLAVIC 126 , Structure of Modern Russian,"Description:  Introduction to Russian phonetics, phonemics, morphophonemics, and inflectional and derivational morphology. Course goal is to give a deeper understanding and appreciation of the regularities and complexities of Russian through a close study of its sounds and words."
SLAVIC 141 - Russian Drama and Performance,SLAVIC 141 , Russian Drama and Performance,"Description:  Investigates performance and theatricality in imperial, Soviet, and post-Soviet contexts, in both art and life, through broad exploration of theoretical underpinnings (classical dramatic theory to contemporary performance studies) and case studies from drama, opera, ballet, film, musicals, performance art, religious ritual and folk festival, monarchy and court, mass spectacles, Cold War competitions and diplomacy, subcultures, and contemporary assertions of new orders."
SLAVIC 148 - Strange Russian Writers,SLAVIC 148 , Strange Russian Writers,"Description:  Studies Russia's rebels, deviants, martyrs, loners, and losers as emblems of national identity. Stories, films and poems that project Russia's distinctive obsessions with history and religion. Includes Pushkin, Gogol, Dostoevsky, Tolstoy, Leskov, Babel, Kharms, Platonov, Nabokov, Petrushevskaya, Shalamov, Dobychin; films by Tarkovsky, Askoldov, Sokurov."
SLAVIC 155 - Dostoevsky,SLAVIC 155 , Dostoevsky,"Description:  Reading of Dostoevsky's major works, with a view to showing how the problems they contain (social, psychological, political, metaphysical) are inseparable not only from his time but from the distinctive novelistic form he created."
SLAVIC 167 - Revolutionary Ukraine: Between the Russian Revolution and the Euromaidan of 2014,SLAVIC 167 , Revolutionary Ukraine: Between the Russian Revolution and the Euromaidan of 2014,"Description:  Focus on Ukrainian avant-garde literature and film, in the context of modernism, socialist realism, the impact of Stalinism, the famine (Holodomor), WWII and the Holocaust, late Sovietism and dissent, Crimea and the Tatars, collapse of the USSR and independence, varieties of post-modernism, and the present conflict with Russia. Also forays into visual art."
SLAVIC 241 - Russian Futurism and Formalism,SLAVIC 241 , Russian Futurism and Formalism,"Description:  Follows the development of two major movements in Russian literature ? Futurism and Formalism - in close conjunction with each other and in the context of Russian Modernism at large. Examines poems, manifestos, theoretical writings, visual arts, theater productions, films. Key questions include: how could Futurism, with its scandalous manifestos and ?transrational? poems, evolve into the Formalist theory with its cult of science and rigorous methodology? How to make sense of the transrational? What made Futurists paint their faces? Works by Bely, Khlebnikov, Mayakovsky, Kruchyonych, Shklovsky, Tynianov, Jacobson, Larionov, Malevich, Zdanevich, Rodchenko, Vertov."
SLAVIC 268 - Post-Soviet and Post-Modernist Ukrainian Literature,SLAVIC 268 , Post,"Description:  Focus on Dibrova and the onset of Post-Sovietism; the post-modernist performance of Andrukhovych and the Bu-Ba-Bu circle; Izdryk; Prochasko; Kurkov, Zabuzhko and feminist and anti-feminist writing, Zhadan and the post-modern nostalgia for the USSR; Ukrainian literature in the diaspora: Yurij Tarnawsky and Vasyl Makhno."
SLAVIC 299 - Proseminar,SLAVIC 299 , Proseminar,"Description:  Introduction to graduate study in Slavic. Selected topics in literary analysis, history, and theory."
SLAVIC 300 - Direction of Doctoral Dissertations,SLAVIC 300 , Direction of Doctoral Dissertations,
SLAVIC 300 - Direction of Doctoral Dissertations,SLAVIC 300 , Direction of Doctoral Dissertations,
SLAVIC 300 - Direction of Doctoral Dissertations,SLAVIC 300 , Direction of Doctoral Dissertations,
SLAVIC 300 - Direction of Doctoral Dissertations,SLAVIC 300 , Direction of Doctoral Dissertations,
